Step,Training_Loss,Validation_Loss, Epoch
1000,2.9995,2.94359,10
2000,2.8117,2.934359,10
3000,2.703,2.953015,10
4000,2.6387,2.958972,10
1000,2.9131,2.871765,20
2000,2.7589,2.877113,20
3000,2.6524,2.902655,20
4000,2.5936,2.915533,20
1000,2.6242,2.940331,30
2000,2.4773,2.994771,30
3000,2.3861,3.053478,30
4000,2.343,3.057245,30
1000,2.5851,2.945604,40
2000,2.445,2.985784,40
3000,2.3551,3.038591,40
4000,2.3181,3.04618,40
1000,2.3093,3.102213,50
2000,2.1709,3.183559,50
3000,2.1048,3.254459,50
4000,2.0927,3.235245,50
1000,2.2682,3.137221,60
2000,2.1438,3.184329,60
3000,2.0814,3.244637,60
4000,2.0768,3.225985,60
1000,1.9882,3.374233,70
2000,1.88,3.44075,70
3000,1.8495,3.49973,70
4000,1.8759,3.445573,70
1000,1.9492,3.423194,80
2000,1.8549,3.447257,80
3000,1.8316,3.490031,80
4000,1.8669,3.434693,80
1000,1.6802,3.678719,90
2000,1.61,3.72538,90
3000,1.6201,3.751318,90
4000,1.6893,3.666048,90
1000,1.6412,3.721732,100
2000,1.5844,3.736917,100
3000,1.6063,3.745243,100
4000,1.6861,3.655725,100
